1,13031994,25,45,60,76,79,x
2,17031994,13,30,58,63,64,x
3,20031994,5,15,32,33,48,x
4,24031994,27,57,60,61,77,x
5,27031994,19,44,53,54,71,x
6,03041994,4,45,54,65,67,x
7,07041994,9,21,37,42,68,x
8,10041994,5,16,26,28,62,x
9,14041994,4,15,44,64,73,x
10,17041994,20,32,49,54,62,x
11,24041994,17,33,52,60,76,x
12,28041994,1,28,56,65,79,x
13,01051994,13,33,38,39,72,x
14,05051994,44,52,60,64,68,x
15,08051994,2,25,54,63,66,x
16,12051994,11,24,63,64,69,x
17,15051994,1,14,26,34,72,x
18,19051994,6,29,40,63,72,x
19,22051994,12,21,42,60,66,x
20,26051994,13,16,31,39,70,x
21,29051994,5,15,38,48,77,x
22,05061994,7,9,11,25,75,x
23,09061994,1,15,63,72,77,x
24,12061994,9,44,57,67,68,x
25,16061994,2,29,46,69,76,x
26,19061994,10,15,22,55,79,x
27,23061994,5,36,39,70,78,x
28,26061994,8,26,28,29,30,x
29,03071994,20,23,31,35,76,x
30,07071994,12,13,14,56,60,x
31,10071994,43,51,54,69,73,x
32,14071994,9,23,31,60,80,x
33,18071994,21,31,44,65,74,x
34,21071994,17,45,64,67,69,x
35,24071994,44,52,54,56,60,x
36,28071994,42,56,62,65,79,x
37,31071994,9,26,31,36,65,x
38,04081994,11,12,57,59,69,x
39,07081994,5,7,21,28,70,x
40,11081994,2,18,31,38,49,x
41,14081994,5,14,31,41,49,x
42,18081994,15,33,39,76,78,x
43,21081994,5,18,21,41,71,x
44,25081994,2,7,57,59,76,x
45,28081994,2,3,27,64,65,x
46,01091994,30,49,72,78,80,x
47,04091994,10,18,22,31,73,x
48,11091994,20,39,72,73,76,x
49,15091994,10,19,39,52,66,x
50,18091994,4,10,15,42,45,x
51,22091994,2,20,26,42,79,x
52,25091994,6,39,41,61,64,x
53,29091994,40,42,48,64,69,x
54,02101994,13,21,32,33,66,x
55,09101994,12,14,60,66,68,x
56,16101994,5,18,24,43,48,x
