1,11031996,41,5,4,52,30,33,x
2,18031996,9,39,37,49,43,41,x
3,25031996,36,30,10,11,29,47,x
4,01041996,6,59,42,27,1,5,x
5,08041996,1,19,46,6,16,2,x
6,15041996,19,40,7,13,22,47,x
7,22041996,56,38,21,20,3,5,x
8,29041996,53,17,38,4,47,37,x
9,06051996,55,43,56,54,8,60,x
10,13051996,25,4,18,57,21,38,x
11,20051996,25,15,58,37,59,38,x
12,27051996,20,27,43,16,19,4,x
13,03061996,47,32,50,54,18,56,x
14,10061996,16,2,27,47,23,53,x
15,17061996,60,12,33,52,35,51,x
16,24061996,60,58,49,32,20,34,x
17,01071996,10,20,6,19,51,13,x
18,08071996,37,36,56,27,42,23,x
19,15071996,5,25,12,10,60,24,x
20,22071996,25,28,30,33,51,11,x
21,29071996,49,46,6,53,33,36,x
22,05081996,9,38,56,1,31,46,x
23,12081996,17,52,51,59,39,37,x
24,19081996,1,8,14,28,33,43,x
25,25081996,56,50,55,54,24,43,x
26,01091996,50,53,57,10,58,22,x
27,08091996,44,33,13,51,17,20,x
28,15091996,60,6,22,3,24,54,x
29,22091996,14,56,58,8,43,3,x
30,29091996,38,50,7,29,15,14,x
31,06101996,56,19,28,48,17,45,x
32,13101996,43,33,14,36,5,44,x
33,20101996,5,33,49,17,42,39,x
34,27101996,15,13,57,53,40,17,x
35,03111996,21,57,16,23,54,4,x
36,10111996,13,3,51,17,29,25,x
37,17111996,22,6,7,52,38,60,x
38,24111996,55,42,10,43,45,54,x
39,01121996,16,37,45,52,56,12,x
40,08121996,3,12,46,5,47,8,x
41,15121996,38,26,35,39,12,47,x
42,22121996,24,36,19,33,7,11,x
43,29121996,2,58,25,6,26,17,x
44,05011997,47,38,18,14,29,44,x
45,12011997,30,7,37,55,44,53,x
46,19011997,32,46,1,60,24,23,x
47,26011997,35,17,3,48,25,56,x
48,02021997,47,5,34,28,2,50,x
49,09021997,33,7,43,35,13,55,x
50,16021997,57,44,21,16,58,6,x
51,23021997,23,24,42,25,17,47,x
52,02031997,58,15,59,30,38,46,x
53,09031997,42,13,3,46,38,16,x
54,16031997,5,21,9,56,18,36,x
55,23031997,29,2,14,38,23,52,x
56,30031997,51,35,59,7,20,2,x
57,06041997,27,17,16,34,7,59,x
58,13041997,30,49,27,37,12,44,x
59,20041997,28,13,34,2,8,54,x
60,27041997,38,14,21,15,3,20,x
61,04051997,59,8,18,29,42,44,x
62,11051997,52,13,6,24,8,31,x
63,18051997,26,9,41,49,25,40,x
64,25051997,8,54,50,60,23,12,x
65,01061997,20,1,5,32,25,34,x
66,08061997,15,26,12,33,48,13,x
67,15061997,47,14,27,52,17,12,x
68,22061997,53,13,3,1,12,59,x
69,29061997,56,58,34,53,25,45,x
70,06071997,40,17,23,43,27,58,x
71,13071997,53,16,45,43,33,27,x
72,20071997,19,48,43,1,34,44,x
73,27071997,57,25,45,28,51,26,x
74,03081997,2,24,34,50,38,37,x
75,10081997,36,49,37,35,24,21,x
76,17081997,33,18,23,8,17,53,x
77,24081997,29,54,40,57,49,21,x
78,31081997,22,32,46,12,25,31,x
79,07091997,43,25,2,13,31,17,x
80,14091997,51,40,37,23,48,28,x
81,21091997,47,41,10,60,54,23,x
82,28091997,51,36,53,29,18,15,x
83,05101997,24,16,4,42,57,15,x
84,12101997,10,34,4,6,25,40,x
85,19101997,47,15,30,37,45,6,x
86,26101997,54,21,6,34,36,22,x
87,02111997,40,4,28,32,11,5,x
88,09111997,45,37,29,4,43,18,x
89,16111997,59,42,34,13,44,55,x
90,23111997,21,26,40,54,9,52,x
91,30111997,60,4,10,35,39,2,x
92,07121997,5,23,51,3,1,24,x
93,14121997,22,53,31,28,2,36,x
94,21121997,28,51,55,18,52,8,x
95,28121997,46,60,6,40,50,45,x
96,04011998,4,42,58,26,7,40,x
97,11011998,56,53,11,14,5,35,x
98,18011998,43,33,14,31,35,13,x
99,25011998,30,33,24,11,46,60,x
100,01021998,46,48,30,14,29,51,x
101,08021998,39,1,37,31,29,18,x
102,15021998,44,42,37,56,19,20,x
103,22021998,9,1,57,7,54,49,x
104,01031998,13,1,38,21,52,4,x
105,08031998,3,13,31,43,46,49,x
106,15031998,24,16,38,5,39,35,x
107,22031998,2,24,52,4,16,51,x
108,29031998,60,29,34,24,21,59,x
109,04041998,54,13,44,49,48,1,x
110,11041998,57,58,18,31,43,52,x
111,18041998,52,32,4,33,25,22,x
112,25041998,37,43,34,20,12,42,x
113,02051998,34,54,26,28,55,7,x
114,09051998,47,54,18,6,12,37,x
115,16051998,6,14,24,20,4,38,x
116,23051998,36,42,32,5,13,51,x
117,30051998,53,42,27,20,33,25,x
118,06061998,22,57,37,9,25,56,x
119,13061998,47,21,1,50,36,38,x
120,20061998,46,45,16,40,27,3,x
121,27061998,53,41,44,2,29,55,x
122,04071998,20,43,39,11,53,17,x
123,11071998,13,42,16,32,14,26,x
124,18071998,52,5,34,57,15,41,x
125,25071998,56,47,25,59,53,41,x
126,01081998,32,28,6,10,11,40,x
127,08081998,59,21,51,54,29,50,x
128,15081998,23,43,3,21,9,18,x
129,22081998,46,54,10,9,1,32,x
130,29081998,13,42,38,49,53,29,x
131,05091998,30,9,17,27,4,44,x
132,12091998,44,35,50,41,9,7,x
133,19091998,19,57,6,39,34,5,x
134,26091998,60,32,25,36,52,4,x
135,03101998,35,40,21,59,53,22,x
