1,29092003,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,x
2,06102003,23,15,5,4,12,16,20,6,11,19,24,1,9,13,7,x
3,13102003,20,23,12,8,6,1,7,11,14,4,16,10,9,17,24,x
4,20102003,16,5,25,24,23,8,12,2,17,18,1,10,4,19,13,x
5,27102003,15,13,20,2,11,24,9,16,4,23,25,12,8,19,1,x
6,03112003,23,19,1,5,7,21,16,10,15,25,6,2,12,4,17,x
7,10112003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,x
8,17112003,19,16,18,9,13,8,5,25,17,10,6,15,1,22,20,x
9,24112003,21,4,17,5,3,13,16,9,20,24,25,19,11,15,10,x
10,01122003,24,19,8,23,6,2,20,11,9,3,4,10,5,12,14,x
11,08122003,24,9,8,19,20,22,6,10,11,16,7,25,23,2,12,x
12,15122003,11,5,25,1,9,8,16,4,7,24,17,2,12,14,10,x
13,22122003,13,6,10,5,8,14,3,11,16,15,9,17,19,7,23,x
14,29122003,14,21,13,19,20,6,9,5,7,23,18,1,15,2,25,x
15,05012004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,x
16,12012004,24,17,5,8,7,12,13,2,15,10,19,25,23,21,6,x
17,19012004,13,20,17,1,6,7,2,14,5,9,16,19,3,21,18,x
18,26012004,2,23,10,7,11,14,17,22,15,6,24,8,19,20,18,x
19,02022004,15,17,10,23,11,24,13,14,6,2,8,5,20,16,7,x
20,09022004,4,9,8,24,16,20,3,17,18,19,7,6,23,14,10,x
21,16022004,5,2,1,22,19,8,24,4,25,23,18,20,14,11,16,x
22,25022004,13,15,5,9,7,10,1,3,22,2,25,14,6,4,12,x
23,01032004,10,11,5,19,18,14,6,4,20,1,8,3,12,16,17,x
24,08032004,1,19,21,14,2,23,25,5,20,11,7,10,24,17,3,x
25,15032004,4,23,20,2,5,13,7,9,24,3,1,6,14,22,16,x
26,22032004,19,11,7,16,8,21,5,10,20,13,23,9,17,14,22,x
