1,06112001,41,48,15,7,24,50,0,43,37,41,49,44,9,0
2,09112001,11,38,32,4,9,42,0,13,9,46,29,19,24,0
3,13112001,42,34,11,44,45,47,0,24,47,48,30,40,12,0
4,16112001,38,44,50,46,43,29,0,44,46,2,7,49,11,0
5,20112001,32,16,12,40,25,7,0,12,19,3,49,10,26,0
6,23112001,16,14,31,13,41,9,0,2,31,42,35,36,47,0
7,27112001,24,32,9,17,6,23,0,45,30,5,28,32,8,0
8,30112001,29,32,11,39,38,24,0,39,2,30,31,17,14,0
9,04122001,44,22,37,18,42,10,0,26,31,42,46,10,37,0
10,07122001,31,19,44,34,17,39,0,24,20,11,4,40,5,0
11,11122001,4,36,27,2,8,43,0,43,5,8,45,17,40,0
12,14122001,28,29,48,21,45,12,0,15,18,25,31,19,20,0
13,18122001,1,3,31,33,37,46,0,43,31,4,13,49,47,0
14,21122001,47,6,39,38,33,7,0,19,26,12,5,14,16,0
15,28122001,43,44,40,30,4,32,0,23,20,7,28,13,34,0
16,04012002,25,21,46,26,19,41,0,22,6,5,31,38,27,0
17,08012002,3,5,44,43,47,14,0,27,43,37,36,1,2,0
18,11012002,28,35,50,41,15,27,0,1,13,23,14,22,38,0
19,15012002,10,19,34,33,25,5,0,47,32,39,27,15,24,0
20,18012002,7,13,26,16,49,45,0,18,39,48,43,25,47,0
21,22012002,37,30,14,44,17,6,0,14,9,24,6,26,20,0
22,25012002,2,42,27,34,17,29,0,13,43,28,7,42,34,0
23,29012002,9,8,42,22,11,10,0,37,4,8,7,34,20,0
24,01022002,26,24,19,25,44,42,0,1,11,6,15,16,36,0
25,05022002,15,35,46,42,6,30,0,24,33,23,44,41,19,0
26,08022002,38,2,23,4,17,8,0,4,39,26,19,49,48,0
27,15022002,32,29,19,35,7,5,0,42,47,3,37,28,44,0
28,19022002,38,22,1,26,13,10,0,27,49,34,40,30,31,0
29,22022002,50,23,39,19,12,1,0,47,45,41,35,25,16,0
30,26022002,33,36,8,21,18,46,0,28,5,3,15,43,13,0
31,01032002,20,19,29,5,32,43,0,35,31,49,46,47,36,0
32,05032002,30,47,18,39,20,24,0,14,6,12,39,26,25,0
33,08032002,24,17,32,11,19,16,0,33,21,22,25,49,13,0
34,12032002,7,29,41,40,45,1,0,29,24,45,22,1,15,0
35,15032002,6,26,2,30,1,45,0,8,7,47,33,13,28,0
36,19032002,14,12,50,9,22,17,0,44,13,42,41,45,2,0
37,22032002,45,25,33,48,47,11,0,45,30,10,29,11,47,0
38,26032002,18,19,31,39,46,2,0,29,24,48,45,15,22,0
39,02042002,50,15,3,12,44,37,0,7,46,34,22,44,28,0
40,05042002,15,21,9,32,4,23,0,8,15,36,41,9,6,0
41,09042002,25,32,47,34,22,15,0,43,6,33,26,28,18,0
42,12042002,42,5,6,39,14,48,0,38,4,45,43,21,27,0
43,17042002,34,1,32,39,43,10,0,26,32,39,11,41,5,0
44,19042002,28,9,35,45,3,15,0,3,42,33,4,45,30,0
45,23042002,19,23,47,28,2,44,0,42,21,30,36,46,49,0
46,26042002,29,26,14,41,9,1,0,20,34,39,42,30,16,0
47,30042002,37,13,21,26,34,3,0,6,30,28,44,22,9,0
48,03052002,43,16,42,41,32,23,0,18,2,19,49,39,42,0
49,07052002,41,33,21,45,2,15,0,32,45,49,41,29,35,0
50,10052002,33,7,36,40,26,8,0,13,35,34,42,2,15,0
51,14052002,11,28,7,12,22,4,0,33,41,47,45,48,42,0
52,17052002,3,17,42,26,48,39,0,7,8,48,14,43,34,0
53,21052002,20,23,4,29,42,5,0,3,8,34,48,35,25,0
54,24052002,5,23,34,4,36,27,0,44,37,24,45,10,32,0
55,28052002,45,44,4,27,43,33,0,17,42,46,6,24,26,0
56,31052002,18,10,33,47,40,3,0,39,18,41,14,15,40,0
57,04062002,18,1,35,38,23,46,0,11,48,15,44,30,47,0
58,07062002,14,32,42,33,23,25,0,40,9,49,29,14,48,0
59,11062002,38,33,2,16,28,46,0,28,32,23,38,35,43,0
60,14062002,35,12,36,43,29,15,0,49,21,7,3,29,34,0
61,18062002,1,18,32,9,36,28,0,17,30,10,41,24,38,0
62,21062002,28,43,38,23,8,4,0,5,42,27,47,48,11,0
63,25062002,10,47,9,16,40,5,0,41,24,46,28,30,12,0
64,28062002,42,26,10,11,12,37,0,15,49,44,42,16,32,0
65,02072002,44,29,1,8,14,5,0,23,35,18,14,28,11,0
66,05072002,6,33,19,47,31,17,0,49,13,39,47,24,15,0
67,09072002,35,46,43,48,40,34,0,49,2,12,34,18,33,0
68,12072002,12,21,3,24,15,28,0,9,11,38,13,18,43,0
