1,01032008,71,51,63,57,24,80,31,x
2,08032008,77,18,31,25,20,63,50,x
3,15032008,36,43,9,74,72,29,21,x
4,22032008,66,71,15,38,70,68,54,x
5,29032008,15,58,24,20,23,54,51,x
6,05042008,55,60,8,17,80,1,59,x
7,13042008,42,15,77,37,18,55,29,x
8,20042008,75,48,76,50,71,61,74,x
9,27042008,5,56,69,37,78,24,58,x
10,04052008,23,74,37,14,1,53,59,x
11,10052008,37,75,3,12,71,11,50,x
12,17052008,15,2,73,13,24,56,39,x
13,24052008,75,37,6,79,73,28,32,x
14,31052008,68,15,19,51,60,57,32,x
15,08062008,3,58,20,21,9,25,64,x
16,15062008,57,5,52,59,38,55,42,x
17,22062008,10,50,23,12,30,20,53,x
18,29062008,33,54,63,26,15,9,70,x
19,06072008,44,60,49,26,75,55,38,x
20,13072008,19,39,64,73,37,53,28,x
21,20072008,15,59,80,75,1,46,65,x
22,27072008,7,52,78,21,4,55,60,x
23,03082008,17,12,20,62,16,23,60,x
24,10082008,62,78,72,80,59,61,4,x
25,17082008,47,4,49,23,51,75,44,x
26,24082008,48,22,54,7,74,70,14,x
27,31082008,8,20,55,31,54,4,48,x
28,07092008,78,26,15,66,55,24,72,x
29,14092008,49,8,34,4,25,68,52,x
30,21092008,9,69,19,44,33,20,1,x
31,28092008,70,1,63,12,46,52,74,x
32,05102008,54,19,2,23,25,45,41,x
33,11102008,62,78,35,30,79,29,13,x
34,19102008,28,57,48,29,56,60,34,x
35,26102008,77,20,16,50,25,70,75,x
36,01112008,10,42,54,72,20,58,59,x
37,09112008,51,55,12,19,37,6,8,x
38,16112008,21,69,71,30,35,8,49,x
39,23112008,61,13,31,28,80,52,41,x
40,30112008,64,76,36,45,54,35,9,x
41,07122008,79,25,63,37,75,42,19,x
42,14122008,19,41,8,78,50,71,47,x
43,21122008,23,42,10,66,60,52,73,x
44,28122008,20,66,76,27,21,64,30,x
45,04012009,28,55,20,71,34,26,76,x
46,10012009,60,69,8,57,16,36,75,x
47,18012009,79,25,29,46,64,27,73,x
48,24012009,59,65,16,52,33,20,80,x
49,01022009,38,20,12,36,27,17,69,x
50,08022009,5,24,20,23,77,72,56,x
51,15022009,30,28,67,27,15,43,52,x
52,22022009,71,55,42,38,53,29,1,x
53,28022009,66,71,1,13,60,16,44,x
54,07032009,38,40,8,20,18,71,48,x
55,15032009,77,26,43,69,60,37,14,x
56,21032009,76,14,45,18,44,61,60,x
